,observed,chao1,diversity_inverse_simpson,diversity_gini_simpson,diversity_shannon,diversity_fisher,diversity_coverage,dominance_dbp,dominance_dmn,dominance_absolute,dominance_relative,dominance_simpson,dominance_core_abundance,dominance_gini,rarity_log_modulo_skewness,rarity_low_abundance,rarity_rare_abundance,Observed,Chao1,se.chao1,ACE,se.ACE,Shannon,Simpson,InvSimpson,Fisher,ID,SampleType,env1,env2,env3,env4,env5,env6,env7,env8,env9,env10,env11,env12
SRR8247274,163,193.421052631579,98.7057119684857,0.989868874049363,4.78605368701522,57.4546408213275,37,0.0238353196099675,0.0444203683640303,22,0.0238353196099675,0.0101311259506367,0.0563380281690141,0.96355706209841,1.65385796425609,0.0368364030335861,0.672806067172264,163,191.05,12.6802133867417,182.690807315699,5.79932737378231,4.78605368701522,0.989868874049363,98.7057119684857,57.4546408213275,SRR8247274,D,7.49,13,1.59,8.2,108.1,44.66,12.82,65.29,660.9,4.71,33.16,27.43
SRR8247276,183,249.125,105.757380634188,0.9905443951618,4.8830520985858,68.0746848245494,40,0.0235798499464094,0.045016077170418,22,0.0235798499464094,0.00945560483820014,0.0621650589496249,0.959810682032831,1.74456275097874,0.0493033226152197,0.772775991425509,183,243.882352941176,24.4032035588448,211.623569158147,6.01668672011032,4.8830520985858,0.9905443951618,105.757380634188,68.0746848245494,SRR8247276,D,7.13,11.91,1.09,10.89,101.96,4.22,11.97,50.89,513.71,7.76,15.51,27.63
SRR8247278,95,107,57.158818464799,0.982504886789851,4.23890560815118,26.4981508479499,22,0.0452099031216362,0.077502691065662,42,0.0452099031216362,0.0174951132101488,0.00861141011840689,0.978818915260739,1.3977395089748,0.0129171151776103,0.742734122712594,95,104.428571428571,7.25639520119531,100.695977409806,4.88685148861653,4.23890560815118,0.982504886789851,57.158818464799,26.4981508479499,SRR8247278,B,7.7,12.15,1.06,11.5,105.64,14.82,12.53,67.69,636.46,5.72,28.49,33.48
SRR8247280,148,171.361111111111,83.3932411674347,0.988008620530863,4.65742601667744,49.5677837709824,32,0.036480686695279,0.065450643776824,34,0.036480686695279,0.0119913794691374,0.139484978540773,0.9678893468746,1.6252590905455,0.0311158798283262,0.611587982832618,148,169.368421052632,10.4577534761856,164.888897167957,5.6477274411073,4.65742601667744,0.988008620530863,83.3932411674347,49.5677837709824,SRR8247280,C,7.59,12.99,1.65,7.86,108.1,33.78,13.08,61.69,627.77,5.72,28.49,27.48
SRR8247282,91,147,14.819066547872,0.93251936640074,3.5246480034529,24.9734180162292,8,0.202150537634409,0.32258064516129,188,0.202150537634409,0.06748063359926,0.00860215053763441,0.988047269243053,1.85920892084498,0.0301075268817204,0.763440860215054,91,138.25,24.9373594682916,119.190828723569,5.50333519338652,3.5246480034529,0.93251936640074,14.819066547872,24.9734180162292,SRR8247282,C,6.74,13.13,1.47,8.91,124.07,39.26,13.84,59.29,556.72,4.71,25.86,28.73
SRR8247284,147,189.25,78.4617148097203,0.987254930606282,4.59749181949143,49.2502887980384,30,0.0313513513513514,0.0616216216216216,29,0.0313513513513514,0.012745069393718,0.08,0.970068397109976,1.70322188659197,0.0421621621621622,0.641081081081081,147,186,16.5807309655833,177.948095174696,6.39668126602606,4.59749181949143,0.987254930606282,78.4617148097203,49.2502887980384,SRR8247284,A,7.67,12.18,1.65,7.38,113.02,10.11,12.89,71.29,651.23,6.74,29.91,34.65
SRR8247286,156,196.833333333333,86.6954474097331,0.988465368945224,4.6994772783637,53.3466845841158,33,0.0308510638297872,0.0585106382978723,29,0.0308510638297872,0.0115346310547759,0.104255319148936,0.966563303138827,1.69239790682594,0.0372340425531915,0.630851063829787,156,193.1875,16.7596662187084,177.517535758972,5.86649056247497,4.6994772783637,0.988465368945224,86.6954474097331,53.3466845841158,SRR8247286,A,7.61,12.51,1.61,7.78,97.05,13.2,13.97,60.49,643.66,3.69,29.31,27.5
SRR8247288,188,213.130434782609,118.91439476554,0.99159058916314,4.97105117083631,70.9102579813676,45,0.0224839400428266,0.0428265524625268,21,0.0224839400428266,0.00840941083686018,0.0910064239828694,0.955566391756953,1.72650404395248,0.0364025695931478,0.67558886509636,188,211.375,10.55571957719,204.79618513324,5.21087036554904,4.97105117083631,0.99159058916314,118.91439476554,70.9102579813676,SRR8247288,A,7.15,13.63,1.44,9.47,111.79,14.87,12.84,66.49,696.42,5.21,31.43,29.85
SRR8247290,111,123.5,47.3364577656676,0.978874633903737,4.24387972424141,32.8360477508285,20,0.0836909871244635,0.123390557939914,78,0.0836909871244635,0.0211253660962626,0.131974248927039,0.978534823439425,1.61642180415058,0.0214592274678112,0.574034334763948,111,122.176470588235,6.66290289320126,123.150926438053,5.23465427316,4.24387972424141,0.978874633903737,47.3364577656676,32.8360477508285,SRR8247290,A,6.89,13.45,1.54,8.74,115.47,9.4,12.1,61.69,642.46,5.72,27.27,28.7
SRR8247292,155,185.421052631579,87.5074204946996,0.988572397696712,4.69685290452402,53.0857336590801,33,0.0311493018259936,0.0569280343716434,29,0.0311493018259936,0.0114276023032878,0.0580021482277121,0.966745860407734,1.67125121250662,0.0365198711063373,0.759398496240602,155,183.05,12.6801676203116,175.860434144422,5.83187368567051,4.69685290452402,0.988572397696712,87.5074204946996,53.0857336590801,SRR8247292,A,7.01,14.95,1.63,9.15,117.93,50.36,12.85,67.69,680.53,5.72,30.92,31.05
SRR8247294,184,207.12,114.367065073041,0.991256223989298,4.93952177524204,68.8423439950555,44,0.0247844827586207,0.0452586206896552,23,0.0247844827586207,0.00874377601070155,0.0657327586206897,0.957029702970296,1.69134206607375,0.0366379310344828,0.742456896551724,184,205.576923076923,9.758500406146,200.973499169839,5.26091824679094,4.93952177524204,0.991256223989298,114.367065073041,68.8423439950555,SRR8247294,A,7.39,13.06,1.82,7.17,100.73,35.62,12.8,65.29,646.21,5.72,30.92,28.65
SRR8247296,43,43,20.3322025113671,0.95081693685468,3.30689902547108,9.32465187067353,8,0.127018299246502,0.208826695371367,118,0.127018299246502,0.0491830631453199,0.077502691065662,0.991753935350477,1.48809909111896,0,0.922497308934338,43,43,0,43,3.27072995195333,3.30689902547108,0.95081693685468,20.3322025113671,9.32465187067353,SRR8247296,B,6.58,14.75,1.69,8.75,128.99,49.48,12.83,78.49,677.08,9.79,35.37,33.34
SRR8247298,142,199.142857142857,72.0118362650008,0.986113393965958,4.52787246886685,46.5690746706157,28,0.0405982905982906,0.0694444444444444,38,0.0405982905982906,0.0138866060340419,0.116452991452991,0.972160446813916,1.77252721222239,0.0427350427350427,0.629273504273504,142,194,22.3048851998854,178.462004536282,6.62962444055093,4.52787246886685,0.986113393965958,72.0118362650008,46.5690746706157,SRR8247298,B,6.81,13.58,1.51,8.99,125.3,43.56,12.72,66.49,571.56,10.81,23.41,32.28
SRR8247299,164,175.020833333333,75.8719660741676,0.986819901318723,4.71255420198867,58.1724779117743,31,0.0490730643402399,0.0828789531079607,45,0.0490730643402399,0.0131800986812766,0.0850599781897492,0.964868220737017,1.71756018561549,0.0250817884405671,0.621592148309706,164,174.12,5.7165039811759,173.387665974362,4.69367000801643,4.71255420198867,0.986819901318723,75.8719660741676,58.1724779117743,SRR8247299,D,6.75,13.09,1.49,8.76,94.59,44.94,13.23,64.09,640.06,7.76,27.67,28.67
